Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Amalner,15,SHIRISHDADA HIRALAL CHAUDHARI,Independent,ANIL BHAIDAS PATIL (AMALNER),Bharatiya Janata Party,21239,Result Declared,Maharashtra,S13
Ambegaon,196,DILIP DATTATRAY WALSE PATIL,Nationalist Congress Party,ARUN GOVINDRAO GIRE,Shivsena,58154,Result Declared,Maharashtra,S13
Ambernath,140,DR. BALAJI KINIKAR,Shivsena,WANKHEDE RAJESH DEVENDRA,Bharatiya Janata Party,2041,Result Declared,Maharashtra,S13
Amgaon,66,PURAM SANJAY HANWANTRAO,Bharatiya Janata Party,RAMRTANBAPU BHARTRAJBAPU RAUT,Indian National Congress,18295,Result Declared,Maharashtra,S13
Amravati,38,DR. DESHMUKH SUNIL PANJABRAO,Bharatiya Janata Party,RAOSAHEB SHEKHAWAT,Indian National Congress,35072,Result Declared,Maharashtra,S13
Andheri East,166,RAMESH LATKE,Shivsena,SUNIL LALANPRASAD YADAV,Bharatiya Janata Party,5479,Result Declared,Maharashtra,S13
Andheri West,165,AMEET BHASKAR SATAM,Bharatiya Janata Party,ASHOK BHAU JADHAV,Indian National Congress,24040,Result Declared,Maharashtra,S13
Anushakti Nagar,172,TUKARAM RAMKRISHNA KATE,Shivsena,NAWAB  MALIK,Nationalist Congress Party,1007,Result Declared,Maharashtra,S13
Arjuni-morgaon,63,BADOLE RAJKUMAR SUDAMJI,Bharatiya Janata Party,NANDAGAWALI RAJESH MULCHAND,Indian National Congress,30295,Result Declared,Maharashtra,S13
Armori,67,KRUSHNA DAMAJI GAJBE,Bharatiya Janata Party,ANANDRAO GAGARAM GEDAM,Indian National Congress,12733,Result Declared,Maharashtra,S13
Arni,80,RAJU NARAYAN TODSAM,Bharatiya Janata Party,MOGHE SHIVAJIRAO SHIVRAMAJI,Indian National Congress,20721,Result Declared,Maharashtra,S13
Arvi,44,AMAR SHARADRAO KALE,Indian National Congress,DADARAO YADAVRAO KECHE,Bharatiya Janata Party,3143,Result Declared,Maharashtra,S13
Ashti,231,DHONDE BHIMRAO ANANDRAO,Bharatiya Janata Party,DHAS SURESH RAMCHANDRA,Nationalist Congress Party,5982,Result Declared,Maharashtra,S13
Aurangabad central,107,SAYED IMTIAZ JALIL,All India Majlis-E-Ittehadul Muslimeen,PRADEEP JAISWAL,Shivsena,19982,Result Declared,Maharashtra,S13
Aurangabad East,109,ATUL MORESHWAR SAVE,Bharatiya Janata Party,DR. ABDUL GAFFAR QUADRI,All India Majlis-E-Ittehadul Muslimeen,4260,Result Declared,Maharashtra,S13
Aurangabad West,108,SANJAY SHIRSAT,Shivsena,MADHUKAR DAMODHAR SAWANT,Bharatiya Janata Party,6927,Result Declared,Maharashtra,S13
Ausa,239,BASAVRAJ MADHAVRAO PATIL,Indian National Congress,DINKAR BABURAO MANE,Shivsena,8858,Result Declared,Maharashtra,S13
Badnapur,102,KUCHE NARAYAN TILAKCHAND,Bharatiya Janata Party,CHAUDHARI ROOPKUMAR(BABLU) NEHRULAL,Nationalist Congress Party,23495,Result Declared,Maharashtra,S13
Badnera,37,RAVI RANA,Independent,BAND SANJAY RAOSAHEB,Shivsena,7419,Result Declared,Maharashtra,S13
Baglan,116,CHAVAN DIPIKA SANJAY,Nationalist Congress Party,BORSE DILIP MANGLU,Bharatiya Janata Party,4181,Result Declared,Maharashtra,S13
Balapur,29,BALIRAM BHAGWAN SIRSKAR,Bharipa Bahujan Mahasangh,KHATIB SYED NATIQUDDIN,Indian National Congress,6939,Result Declared,Maharashtra,S13
Ballarpur,72,MUNGANTIWAR SUDHIR SACHHIDANAND,Bharatiya Janata Party,MULCHANDANI GHANSHYAM KHUSHIMAL,Indian National Congress,43600,Result Declared,Maharashtra,S13
Baramati,201,AJIT ANANTRAO PAWAR,Nationalist Congress Party,BALASAHEB ALIAS PRABHAKAR DADARAM GAWADE,Bharatiya Janata Party,89791,Result Declared,Maharashtra,S13
Barshi,246,DILIP GANGADHAR SOPAL,Nationalist Congress Party,RAJENDRA VITTHAL RAUT,Shivsena,5111,Result Declared,Maharashtra,S13
Basmath,92,MUNDADA JAIPRAKASH SHANKARLAL,Shivsena,JAIPRAKASH RAOSAHEB DANDEGAONKAR,Nationalist Congress Party,5556,Result Declared,Maharashtra,S13
Beed,230,KSHIRSAGER JAYDATTJI SONAJIRAO,Nationalist Congress Party,VINAYAK TUKARAM METE,Bharatiya Janata Party,6132,Result Declared,Maharashtra,S13
Belapur,151,MANDA VIJAY MHATRE,Bharatiya Janata Party,GANESH  NAIK,Nationalist Congress Party,1491,Result Declared,Maharashtra,S13
Bhandara,61,AVSARE RAMCHANDRA PUNAJI,Bharatiya Janata Party,GADHAVE DEWANGANA VIJAY,Bahujan Samaj Party,36832,Result Declared,Maharashtra,S13
Bhandup West,157,ASHOK PATIL,Shivsena,KOTAK MONOJ,Bharatiya Janata Party,4772,Result Declared,Maharashtra,S13
Bhiwandi East,137,RUPESH LAXMAN MHATRE,Shivsena,SANTOSH MANJAYYA SHETTY,Bharatiya Janata Party,3393,Result Declared,Maharashtra,S13
Bhiwandi Rural (S.T.),134,SHANTARAM TUKARAM MORE,Shivsena,PATIL SHANTARAM DUNDARAM,Bharatiya Janata Party,9160,Result Declared,Maharashtra,S13
Bhiwandi West,136,CHOUGHULE MAHESH PRABHAKAR,Bharatiya Janata Party,KHAN SHOEB ASHFAQ,Indian National Congress,3326,Result Declared,Maharashtra,S13
Bhokar,85,AMEETA ASHOKRAO CHAVAN,Indian National Congress,KINHALKAR DR.MADHAVRAO BHUJANGRAO,Bharatiya Janata Party,47557,Result Declared,Maharashtra,S13
Bhokardan,103,DANAVE SANTOSH RAOSAHEB,Bharatiya Janata Party,CHANDRAKANT PUNDLIKRAO DANAVE,Nationalist Congress Party,6750,Result Declared,Maharashtra,S13
Bhor,203,SANGRAM ANANTRAO THOPATE,Indian National Congress,KULDIP SUDAM KONDE,Shivsena,18951,Result Declared,Maharashtra,S13
Bhosari,207,MAHESH (DADA) KISAN LANDGE,Independent,UBALE SULABHA RAMBHAU,Shivsena,15316,Result Declared,Maharashtra,S13
Bhusawal,12,SAWAKARE SANJAY WAMAN,Bharatiya Janata Party,ZALTE RAJESH DHANAJI,Nationalist Congress Party,34637,Result Declared,Maharashtra,S13
Boisar,131,TARE VILAS SUKUR,Bahujan Vikas Aaghadi,KAMALAKAR ANYA DALAVI,Shivsena,12873,Result Declared,Maharashtra,S13
Borivali,152,VINOD TAWDE,Bharatiya Janata Party,AGARWAL UTTAMPRAKASH CA,Shivsena,79267,Result Declared,Maharashtra,S13
Brahmapuri,73,WADETTIWAR VIJAY NAMDEVRAO,Indian National Congress,ATUL DEVIDAS DESHKAR,Bharatiya Janata Party,13610,Result Declared,Maharashtra,S13
Buldhana,22,HARSHWARDHAN VASANTRAO SAPKAL,Indian National Congress,SANJAY RAMBHAU GAIKWAD,Maharashtra Navnirman sena,11661,Result Declared,Maharashtra,S13
Byculla,184,ADVOCATE  WARIS YUSUF PATHAN,All India Majlis-E-Ittehadul Muslimeen,MADHU (DADA) CHAVAN,Bharatiya Janata Party,1357,Result Declared,Maharashtra,S13
Chalisgaon,17,UNMESH BHAIYYASAHEB PATIL,Bharatiya Janata Party,DESHMUKH RAJIV ANIL,Nationalist Congress Party,22380,Result Declared,Maharashtra,S13
Chandgad,271,DESAI-KUPAKAR SANDHYADEVI KRUSHNARAO,Nationalist Congress Party,NARSINGRAO GURUNATH PATIL,Shivsena,8199,Result Declared,Maharashtra,S13
Chandivali,168,KHAN MOHD. ARIF (NASEEM),Indian National Congress,SINGH SANTOSH RAMNIWAS,Shivsena,29469,Result Declared,Maharashtra,S13
Chandrapur,71,SHAMKULE NANAJI SITARAM,Bharatiya Janata Party,KISHOR GAJANANRAO JORGEWAR,Shivsena,30772,Result Declared,Maharashtra,S13
Chandvad,118,DR. AHER RAHUL DAULTRAO,Bharatiya Janata Party,KOTWAL SHIRISHKUMAR VASANTRAO,Indian National Congress,11161,Result Declared,Maharashtra,S13
Charkop,161,YOGESH SAGAR,Bharatiya Janata Party,SHUBHADA SUBHASH GUDEKAR,Shivsena,64367,Result Declared,Maharashtra,S13
Chembur,173,PRAKASH VAIKUNTH PHATERPEKAR,Shivsena,CHANDRAKANT DAMODHAR HANDORE,Indian National Congress,10027,Result Declared,Maharashtra,S13
Chikhli,23,RAHUL SIDDHAVINAYAK BONDRE,Indian National Congress,KHABUTARE SURESHAAPPA WAMANAAPPA,Bharatiya Janata Party,14061,Result Declared,Maharashtra,S13
Chimur,74,BANTI BHANGDIYA,Bharatiya Janata Party,DR. AVINASH MANOHARRAO WARJUKAR,Indian National Congress,25155,Result Declared,Maharashtra,S13
Chinchwad,205,JAGTAP LAXMAN PANDURANG,Bharatiya Janata Party,KALATE RAHUL TANAJI,Shivsena,60297,Result Declared,Maharashtra,S13
Chiplun,265,CHAVAN SADANAND NARAYAN,Shivsena,SHEKHAR GOVINDRAO NIKAM,Nationalist Congress Party,6068,Result Declared,Maharashtra,S13
Chopda,10,SONAWANE CHANDRAKANT BALIRAM,Shivsena,PATIL MADHURI KISHOR,Nationalist Congress Party,11935,Result Declared,Maharashtra,S13
Colaba,187,RAJ K.PUROHIT,Bharatiya Janata Party,PANDURANG GANPAT SAKPAL,Shivsena,23787,Result Declared,Maharashtra,S13
Dahanu,128,DHANARE PASKAL JANYA,Bharatiya Janata Party,MANGAT BARKYA VANSHA,Communist Party of India  (Marxist),16700,Result Declared,Maharashtra,S13
Dahisar,153,CHAUDHARY MANISHA ASHOK,Bharatiya Janata Party,GHOSALKAR VINOD RAMCHANDRA,Shivsena,38578,Result Declared,Maharashtra,S13
Dapoli,263,KADAM SANJAY VASANT,Nationalist Congress Party,DALVI SURYAKANT SHIVRAM,Shivsena,3784,Result Declared,Maharashtra,S13
Daryapur,40,RAMESH GANPATRAO BUNDILE,Bharatiya Janata Party,BALWANT BASWANT WANKHADE,Republican Party of India,19582,Result Declared,Maharashtra,S13
Daund,199,KUL RAHUL SUBHASHRAO,Rashtriya Samaj Paksha,RAMESH KISAN THORAT,Nationalist Congress Party,11345,Result Declared,Maharashtra,S13
Deglur,90,SABNE SUBHASH PIRAJI,Shivsena,ANTAPURKAR RAOSAHEB JAIWANTA,Indian National Congress,8648,Result Declared,Maharashtra,S13
Deoli,45,KAMBLE RANJIT PRATAPRAO,Indian National Congress,SURESH GANPATRAO WAGHMARE,Bharatiya Janata Party,943,Result Declared,Maharashtra,S13
Devlali,126,GHOLAP YOGESH(BAPU) BABANRAO,Shivsena,SADAFULE RAMDAS DAYARAM(BABA),Bharatiya Janata Party,28171,Result Declared,Maharashtra,S13
Dhamamgaon railway,36,JAGTAP VIRENDRA WALMIK,Indian National Congress,ADSAD ARUNBHAU JANARDANRAO,Bharatiya Janata Party,974,Result Declared,Maharashtra,S13
Dharavi,178,GAIKWAD VARSHA EKNATH,Indian National Congress,BABURAO  MANE,Shivsena,15328,Result Declared,Maharashtra,S13
Dhule City,7,ANIL ANNA GOTE,Bharatiya Janata Party,KADAMBANDE RAJWARDHAN RAGHUJIRAO,Nationalist Congress Party,12928,Result Declared,Maharashtra,S13
Dhule Rural,6,KUNAL (BABA) ROHIDAS PATIL,Indian National Congress,BHADANE MANOHAR DATTATRAY,Bharatiya Janata Party,46082,Result Declared,Maharashtra,S13
Digras,79,RATHOD SANJAY DULICHAND,Shivsena,VASANT VISHVASRAO GHUIKHEDKAR,Nationalist Congress Party,79864,Result Declared,Maharashtra,S13
Dindori,122,ZIRWAL NARHARI SITARAM,Nationalist Congress Party,DHANRAJ HARIBHAU MAHALE,Shivsena,12633,Result Declared,Maharashtra,S13
Dindoshi,159,SUNIL PRABHU,Shivsena,RAJHANS SINGH DHANANJAY SINGH,Indian National Congress,19828,Result Declared,Maharashtra,S13
Dombivali,143,CHAVHAN RAVINDRA DATTATRAY,Bharatiya Janata Party,DIPESH PUNDALIK MHATRE,Shivsena,46225,Result Declared,Maharashtra,S13
Erandol,16,ANNASAHEB DR. SATISH BHASKARRAO PATIL,Nationalist Congress Party,PATIL CHIMANRAO RUPCHAND,Shivsena,1983,Result Declared,Maharashtra,S13
Gadchiroli,68,DR. DEORAO MADGUJI HOLI,Bharatiya Janata Party,ATRAM BHAGYASHRI DHARMRAOBABA,Nationalist Congress Party,51905,Result Declared,Maharashtra,S13
Gangakhed,97,MADHUSUDAN MANIKRAO KENDRE,Nationalist Congress Party,GUTTE RATNAKAR MANIKRAO,Rashtriya Samaj Paksha,2289,Result Declared,Maharashtra,S13
Gangapur,111,BAMB PRASHANT BANSILAL,Bharatiya Janata Party,AMBADAS EKNATH DANVE,Shivsena,17278,Result Declared,Maharashtra,S13
Georai,228,PAWAR LAXMAN MADHAVRO,Bharatiya Janata Party,PANDIT BADAMRAO LAHURAO,Nationalist Congress Party,60001,Result Declared,Maharashtra,S13
Ghansawangi,100,RAJESHBHAIYYA TOPE,Nationalist Congress Party,KHARAT VILASRAO VITTHALRAO,Bharatiya Janata Party,43476,Result Declared,Maharashtra,S13
Ghatkopar East,170,MEHTA PRAKASH MANCHHUBHAI,Bharatiya Janata Party,JAGDISH CHAGAN CHAUDHARI,Shivsena,40127,Result Declared,Maharashtra,S13
Ghatkopar West,169,RAM  KADAM,Bharatiya Janata Party,SUDHIR SAYAJI MORE,Shivsena,41916,Result Declared,Maharashtra,S13
Gondiya,65,AGRAWAL GOPALDAS SHANKARLAL,Indian National Congress,AGRAWAL VINODKUMAR,Bharatiya Janata Party,10758,Result Declared,Maharashtra,S13
Goregaon,163,VIDYA THAKUR,Bharatiya Janata Party,SUBHASH DESAI,Shivsena,4756,Result Declared,Maharashtra,S13
Guhagar,264,JADHAV BHASKAR BHAURAO,Nationalist Congress Party,DR. NATU VINAY SHRIDHAR,Bharatiya Janata Party,32764,Result Declared,Maharashtra,S13
Hadapsar,213,TILEKAR YOGESH KUNDALIK,Bharatiya Janata Party,BABER MAHADEV RAMCHANDRA,Shivsena,30248,Result Declared,Maharashtra,S13
Hadgaon,84,ASHTIKAR PATIL NAGESH BAPURAO,Shivsena,JAWALGAONKAR MADHAVRAO NIVRUTIRAO PAWAR (PATIL),Indian National Congress,13441,Result Declared,Maharashtra,S13
Hatkanangle,278,DR. MINCHEKAR SUJIT VASANTRAO,Shivsena,AWALE JAYWANT GANGARAM,Indian National Congress,29370,Result Declared,Maharashtra,S13
Hinganghat,46,KUNAWAR SAMIR TRAMBAKRAO,Bharatiya Janata Party,TELANG PRALAY BHAURAO,Bahujan Samaj Party,65175,Result Declared,Maharashtra,S13
Hingna,50,MEGHE SAMEER DATTATRAYA,Bharatiya Janata Party,BANG RAMESHCHANDRA GOPIKISAN,Nationalist Congress Party,23158,Result Declared,Maharashtra,S13
Hingoli,94,MUTKULE TANHAJI SAKHARAMJI,Bharatiya Janata Party,PATIL BHAURAO BABURAO,Indian National Congress,56446,Result Declared,Maharashtra,S13
Ichalkaranji,279,SURESH GANPATI HALVANKAR,Bharatiya Janata Party,AWADE PRAKASH KALLAPPA,Indian National Congress,15255,Result Declared,Maharashtra,S13
Igatpuri,127,GAVEET NIRMALA RAMESH,Indian National Congress,ZHOLE SHIVRAM SHANKAR,Shivsena,10377,Result Declared,Maharashtra,S13
Indapur,200,DATTATRAY VITHOBA BHARNE,Nationalist Congress Party,PATIL HARSHWARDHAN SHAHAJIRAO,Indian National Congress,14173,Result Declared,Maharashtra,S13
Islampur,283,JAYANT RAJARAM PATIL,Nationalist Congress Party,ABHIJIT SHIVAJIRAO PATIL,Independent,75186,Result Declared,Maharashtra,S13
Jalgaon (Jamod),27,KUTE DR. SANJAY SHRIRAM,Bharatiya Janata Party,BALASAHEB ALIAS PRASENJIT KISAN TAYDE,Bharipa Bahujan Mahasangh,4695,Result Declared,Maharashtra,S13
Jalgaon City,13,SURESH DAMU BHOLE (RAJUMAMA),Bharatiya Janata Party,SURESHKUMAR JAIN,Shivsena,42314,Result Declared,Maharashtra,S13
Jalgaon Rural,14,PATIL GULAB RAGHUNATH,Shivsena,DEOKAR GULABRAO BABURAO,Nationalist Congress Party,31367,Result Declared,Maharashtra,S13
Jalna,101,ARJUN PANDITRAO KHOTKAR,Shivsena,GORANTYAL KAILAS KISHANRAO,Indian National Congress,296,Result Declared,Maharashtra,S13
Jamner,19,GIRISH DATTATRAY MAHAJAN,Bharatiya Janata Party,PATIL DIGAMBAR KESHAV,Nationalist Congress Party,35768,Result Declared,Maharashtra,S13
Jath,288,JAGTAP VILASRAV NARAYAN,Bharatiya Janata Party,VIKRAMSHINH SAWANT,Indian National Congress,17698,Result Declared,Maharashtra,S13
Jintur,95,BHAMALE VIJAY MANIKRAO,Nationalist Congress Party,KADAM RAMPRASAD WAMANRAO (BORDIKAR),Indian National Congress,27358,Result Declared,Maharashtra,S13
Jogeshwari East,158,RAVINDRA DATTARAM WAIKAR,Shivsena,UJWALA MODAK,Bharatiya Janata Party,28962,Result Declared,Maharashtra,S13
Junnar,195,SHARADDADA BHIMAJI SONAVANE,Maharashtra Navnirman sena,ASHATAI DATTATRAY BUCHKE,Shivsena,16923,Result Declared,Maharashtra,S13
Kagal,273,MUSHRIF HASAN MIYALAL,Nationalist Congress Party,GHATAGE SANJAY ANANDRAO,Shivsena,5934,Result Declared,Maharashtra,S13
Kaij,232,THOMBRE SANGEETA VIJAYPRAKASH,Bharatiya Janata Party,NAMITA AKSHAY MUNDADA,Nationalist Congress Party,42721,Result Declared,Maharashtra,S13
Kalamnuri,93,TARFE SANTOSH KAUTIKA,Indian National Congress,GAJANAN VITTHALRAO GHUGE,Shivsena,10536,Result Declared,Maharashtra,S13
Kalina,175,SANJAY  GOVIND POTNIS,Shivsena,SINGH  AMARJEET  AWADHNARAYAN,Bharatiya Janata Party,1297,Result Declared,Maharashtra,S13
Kalwan,117,GAVIT JIVA PANDU,Communist Party of India  (Marxist),ARJUN TULSHIRAM PAWAR,Nationalist Congress Party,4786,Result Declared,Maharashtra,S13
Kalyan East,142,GANPAT KALU GAIKWAD,Independent,GOPAL RAMCHANDRA LANDGE,Shivsena,745,Result Declared,Maharashtra,S13
Kalyan Rural,144,BHOIR SUBHASH GANU,Shivsena,RAMESH RATAN PATIL,Maharashtra Navnirman sena,44212,Result Declared,Maharashtra,S13
Kalyan West,138,NARENDRA BABURAO PAWAR,Bharatiya Janata Party,VIJAY (BANDYA) JAGANNATH SALVI,Shivsena,2219,Result Declared,Maharashtra,S13
Kamthi,58,CHANDRASHEKHAR KRUSHNRAO BAWANKULE,Bharatiya Janata Party,RAJENDRA BHAUSAHEB MULAK,Indian National Congress,40002,Result Declared,Maharashtra,S13
Kandivali East,160,ATUL BHATKHALKAR,Bharatiya Janata Party,THAKUR RAMESH SINGH,Indian National Congress,41188,Result Declared,Maharashtra,S13
Kankavli,268,NITESH NARAYAN RANE,Indian National Congress,JATHAR PRAMOD SHANTARAM,Bharatiya Janata Party,25979,Result Declared,Maharashtra,S13
Kannad,105,JADHAV HARSHVARDHAN RAIBHAN,Shivsena,UDAYSING SARDARSING RAJPUT,Nationalist Congress Party,1561,Result Declared,Maharashtra,S13
Karad North,259,PATIL SHAMRAO ALIAS BALASO PANDURANG,Nationalist Congress Party,KADAM DHAIRYASHIL DNYANDEO,Indian National Congress,20507,Result Declared,Maharashtra,S13
Karad South,260,CHAVAN PRITHVIRAJ DAJISAHEB,Indian National Congress,VILASRAO  PATIL(KAKA),Independent,16418,Result Declared,Maharashtra,S13
Karanja,35,PATNI RAJENDRA SUKHANAND,Bharatiya Janata Party,PUNJANI MO.YUSUF,Bharipa Bahujan Mahasangh,4147,Result Declared,Maharashtra,S13
Karjat,189,SURESHBHAU NARAYAN LAD,Nationalist Congress Party,MAHENDRA SADASHIV THORVE,Peasants And Workers Party of India,1900,Result Declared,Maharashtra,S13
Karjat jamkhed,227,PRO. RAM SHANKAR SHINDE,Bharatiya Janata Party,KHADE RAMESH BHIVRAO,Shivsena,37816,Result Declared,Maharashtra,S13
Karmala,244,PATIL NARAYAN GOVINDRAO,Shivsena,BAGAL RASHMEE DIGAMBAR,Nationalist Congress Party,257,Result Declared,Maharashtra,S13
Karvir,275,NARKE CHANDRADIP SHASHIKANT,Shivsena,P.N.PATIL(SAKOLIKAR),Indian National Congress,710,Result Declared,Maharashtra,S13
Kasba peth,215,BAPAT GIRISH BHALCHANDRA,Bharatiya Janata Party,DR.ROHIT DEEPAK TILAK,Indian National Congress,42272,Result Declared,Maharashtra,S13
Katol,48,DR ASHISH DESHMUKH,Bharatiya Janata Party,ANIL DESHMUKH,Nationalist Congress Party,5557,Result Declared,Maharashtra,S13
Khadakwasala,211,TAPKIR BHIMRAO DHONDIBA,Bharatiya Janata Party,BARATE DILIP PRABHAKAR,Nationalist Congress Party,63026,Result Declared,Maharashtra,S13
Khamgaon,26,AKASH PANDURANG FUNDKAR,Bharatiya Janata Party,SANANDA DILIPKUMAR GOKULCHAND,Indian National Congress,7061,Result Declared,Maharashtra,S13
Khanapur,286,ANILBHAU BABAR,Shivsena,PATIL SADASHIVRAO HANMANTRAO,Indian National Congress,19797,Result Declared,Maharashtra,S13
Khed alandi,197,GORE SURESH NAMDEO,Shivsena,DILIP DATTATRAY MOHITE,Nationalist Congress Party,32718,Result Declared,Maharashtra,S13
Kinwat,83,JADHAV PRADEEP NAIK,Nationalist Congress Party,BHIMRAO RAMJI KERAM,Independent,4975,Result Declared,Maharashtra,S13
Kolhapur North,276,RAJESH VINAYAKRAO KSHIRSAGAR,Shivsena,KADAM SATYAJIT SHIVAJIRAO,Indian National Congress,22421,Result Declared,Maharashtra,S13
Kolhapur South,274,AMAL MAHADIK,Bharatiya Janata Party,PATIL SATEJ URF BUNTY D.,Indian National Congress,8528,Result Declared,Maharashtra,S13
Kopargaon,219,KOLHE SNEHALATA BIPINDADA,Bharatiya Janata Party,AASHUTOSH ASHOKRAO KALE,Shivsena,29270,Result Declared,Maharashtra,S13
Kopri-Pachpakhadi,147,EKNATH SAMBHAJI SHINDE,Shivsena,ADV.SANDEEP LELE,Bharatiya Janata Party,51869,Result Declared,Maharashtra,S13
Koregaon,257,SHINDE SHASHIKANT JAYWANTRAO,Nationalist Congress Party,KANASE VIJAYRAO BABURAO,Indian National Congress,47247,Result Declared,Maharashtra,S13
Kothrud,210,KULKARNI MEDHA VISHRAM,Bharatiya Janata Party,CHANDRAKANT BALBHIM MOKATE,Shivsena,64662,Result Declared,Maharashtra,S13
Kudal,269,NAIK VAIBHAV VIJAY,Shivsena,NARAYAN TATU RANE,Indian National Congress,10376,Result Declared,Maharashtra,S13
Kurla,174,MANGESH  KUDALKAR,Shivsena,VIJAY BABURAO KAMBLE,Bharatiya Janata Party,12679,Result Declared,Maharashtra,S13
Latur City,235,AMIT VILASRAO DESHMUKH,Indian National Congress,LAHOTI SHAILESH GOVINDKUMAR,Bharatiya Janata Party,49465,Result Declared,Maharashtra,S13
Latur Rural,234,BHISE TRIMBAKRAO SHRIRANGRAO,Indian National Congress,KARAD RAMESH KASHIRAM,Bharatiya Janata Party,10510,Result Declared,Maharashtra,S13
Loha,88,CHIKHALIKAR PRATAPRAO GOVINDRAO,Shivsena,DHONDGE MUKTESHWAR KESHAVRAO,Bharatiya Janata Party,45486,Result Declared,Maharashtra,S13
Madha,245,SHINDE BABANRAO VITTHALRAO,Nationalist Congress Party,KALE KALYAN VASANTRAO,Indian National Congress,35778,Result Declared,Maharashtra,S13
Magathane,154,PRAKASH SURVE,Shivsena,HEMENDRA RATILAL MEHTA,Bharatiya Janata Party,20385,Result Declared,Maharashtra,S13
Mahad,194,GOGAWALE BHARAT MARUTI,Shivsena,MANIK MOTIRAM JAGTAP,Indian National Congress,21256,Result Declared,Maharashtra,S13
Mahim,181,SADA SARVANKAR,Shivsena,NITIN SARDESAI,Maharashtra Navnirman sena,5941,Result Declared,Maharashtra,S13
Majalgaon,229,R.T.DESHMUKH (JIJA),Bharatiya Janata Party,PRAKASH SUNDARRAO SOLANKE (DADA),Nationalist Congress Party,37245,Result Declared,Maharashtra,S13
Malabar hill,185,MANGAL PRABHAT  LODHA,Bharatiya Janata Party,ARVIND (ARUN) DEVJI DUDHWADKAR,Shivsena,68686,Result Declared,Maharashtra,S13
Malad West,162,ASLAM SHAIKH,Indian National Congress,DR. RAM BAROT,Bharatiya Janata Party,2303,Result Declared,Maharashtra,S13
Malegaon central,114,SHAIKH AASIF SHAIKH RASHID,Indian National Congress,MUFTI MOH. ISMILE KASMI,Nationalist Congress Party,16151,Result Declared,Maharashtra,S13
Malegaon outer,115,BHUSE DADAJI DAGDU,Shivsena,THAKRE PAWAN YASHVANT,Bharatiya Janata Party,37421,Result Declared,Maharashtra,S13
Malkapur,21,CHAINSUKH MADANLAL SANCHETI,Bharatiya Janata Party,DR. ARVIND KOLTE,Indian National Congress,26946,Result Declared,Maharashtra,S13
Malshiras,254,DOLAS HANUMANT JAGANNATH,Nationalist Congress Party,KHANDAGALE ANANT JAYKUMAR,Independent,6245,Result Declared,Maharashtra,S13
Man,258,JAYKUMAR BHAGWANRAO GORE,Indian National Congress,GORE SHEKHAR BHAGWANRAO,Rashtriya Samaj Paksha,23351,Result Declared,Maharashtra,S13
Mankhurd shivaji Nagar,171,ABU ASIM AZMI,Samajwadi Party,SURESH KRUSHNARAO PATIL,Shivsena,9937,Result Declared,Maharashtra,S13
Maval,204,BHEGADE SANJAY (BALA) VISHWANATH,Bharatiya Janata Party,DNYANOBA ALIAS MAULI DABHADE,Nationalist Congress Party,28001,Result Declared,Maharashtra,S13
Mehkar,25,SANJAY BHASHKAR RAIMULKAR,Shivsena,LAXMANRAO JANUJI GHUMARE,Indian National Congress,35935,Result Declared,Maharashtra,S13
Melghat,41,BHILAWEKAR PRABHDAS BABULAL,Bharatiya Janata Party,RAJKUMAR DAYARAM PATEL,Nationalist Congress Party,1979,Result Declared,Maharashtra,S13
Mira Bhayandar,145,NARENDRA MEHTA,Bharatiya Janata Party,GILBERT MENDONCA,Nationalist Congress Party,32292,Result Declared,Maharashtra,S13
Miraj,281,KHADE SURESH(BHAU) DAGADU,Bharatiya Janata Party,SHIDHESHWAR ATAMARAM JADHAV,Indian National Congress,64067,Result Declared,Maharashtra,S13
Mohol,247,RAMESH NAGNATH KADAM,Nationalist Congress Party,KSHIRSAGAR SANJAY DATTATRAYA,Bharatiya Janata Party,8367,Result Declared,Maharashtra,S13
Morshi,43,DR. ANIL SUKHDEVRAO BONDE,Bharatiya Janata Party,HARSHVARDHAN PRATAPSINH DESHMUKH,Nationalist Congress Party,40162,Result Declared,Maharashtra,S13
Mukhed,91,GOVIND MUKKAJI RATHOD,Bharatiya Janata Party,BETMOGAREKAR PATIL HANMANTRAO VENKATRAO,Indian National Congress,73291,Result Declared,Maharashtra,S13
Muktainagar,20,KHADSE EKNATHRAO GANPATRAO,Bharatiya Janata Party,PATIL CHANDRAKANT NIMBA,Shivsena,9708,Result Declared,Maharashtra,S13
Mulund,155,SARDAR TARA SINGH,Bharatiya Janata Party,CHARAN SINGH SAPRA,Indian National Congress,65307,Result Declared,Maharashtra,S13
Mumbadevi,186,AMIN PATEL,Indian National Congress,ATUL SHAH,Bharatiya Janata Party,8513,Result Declared,Maharashtra,S13
Mumbra-Kalwa,149,AWHAD JITENDRA SATISH,Nationalist Congress Party,DASHARATH KASHINATH PATIL,Shivsena,47683,Result Declared,Maharashtra,S13
Murbad,139,KISAN SHANKAR KATHORE,Bharatiya Janata Party,GOTIRAM PADU PAWAR,Nationalist Congress Party,26230,Result Declared,Maharashtra,S13
Murtizapur,32,HARISH MAROTIAPPA PIMPLE,Bharatiya Janata Party,RAHUL SHESHARAO DONGARE,Bharipa Bahujan Mahasangh,12888,Result Declared,Maharashtra,S13
