Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Solapur City central,249,SHINDE PRANITI SUSHILKUMAR,Indian National Congress,SHEKH TAUFIK IS MAIL,All India Majlis-E-Ittehadul Muslimeen,9769,Result Declared,Maharashtra,S13
Solapur City North,248,VIJAY SIDRAMAPPA DESHMUKH,Bharatiya Janata Party,MAHESH CHANDRAKANT GADEKAR,Nationalist Congress Party,68878,Result Declared,Maharashtra,S13
Solapur South,251,DESHMUKH SUBHASH SURESHCHANDRA,Bharatiya Janata Party,DILIP BRAHMDEV MANE,Indian National Congress,27123,Result Declared,Maharashtra,S13
Tasgaon-Kavathe Mahankal,287,ADV.R.R. (AABA) ALIAS RAVSAHEB RAMRAO PATIL,Nationalist Congress Party,AJITRAO SHANKARRAO GHORPADE,Bharatiya Janata Party,22410,Result Declared,Maharashtra,S13
Teosa,39,ADV. YASHOMATI THAKUR (SONAWANE),Indian National Congress,NIVEDITA DIGHADE CHOUDHARI,Bharatiya Janata Party,20441,Result Declared,Maharashtra,S13
Thane,148,KELKAR SANJAY MUKUND,Bharatiya Janata Party,RAVINDRA SADANAND PHATAK,Shivsena,12588,Result Declared,Maharashtra,S13
Tirora,64,RAHANGDALE VIJAY BHARATLAL,Bharatiya Janata Party,BANSOD DILIP WAMAN,Independent,13098,Result Declared,Maharashtra,S13
Tuljapur,241,CHAVAN MADHUKARRAO DEORAO,Indian National Congress,GORE JEEVANRAO VISHWANATHRAO,Nationalist Congress Party,29610,Result Declared,Maharashtra,S13
Tumsar,60,WAGHAMARE CHARAN SOVINDA,Bharatiya Janata Party,KUKADE MADHUKAR YASHWANTRAO,Nationalist Congress Party,28679,Result Declared,Maharashtra,S13
Udgir,237,SUDHAKAR SANGRAM BHALERAO,Bharatiya Janata Party,SANJAY BABURAO BANSODE,Nationalist Congress Party,24894,Result Declared,Maharashtra,S13
Ulhasnagar,141,JYOTI PAPPU KALANI,Nationalist Congress Party,AILANI KUMAR,Bharatiya Janata Party,1863,Result Declared,Maharashtra,S13
Umarga,240,CHOUGULE DNYANRAJ DHONDIRAM,Shivsena,KISAN NAGNATH KAMBLE,Indian National Congress,20442,Result Declared,Maharashtra,S13
Umarkhed,82,RAJENDRA WAMAN NAJARDHANE,Bharatiya Janata Party,KHADSE VIJAYRAO YADAVRAO,Indian National Congress,48576,Result Declared,Maharashtra,S13
Umred,51,PARWE SUDHIR LAXMAN,Bharatiya Janata Party,BANSOD RUKSHADAS MOKASRAO,Bahujan Samaj Party,58322,Result Declared,Maharashtra,S13
Uran,190,MANOHAR GAJANAN BHOIR,Shivsena,PATIL VIVEK SHANKAR,Peasants And Workers Party of India,811,Result Declared,Maharashtra,S13
VADGAON SHERI,208,JAGDISH TUKARAM MULUK,Bharatiya Janata Party,TINGARE SUNIL VIJAY,Shivsena,5325,Result Declared,Maharashtra,S13
Vaijapur,112,BHAUSAHEB PATIL CHIKATGAONKAR,Nationalist Congress Party,R. M. WANI,Shivsena,4709,Result Declared,Maharashtra,S13
Vandre East,176,PRAKASH (BALA) SAWANT,Shivsena,KRISHNA DHONDU PARKAR,Bharatiya Janata Party,15597,Result Declared,Maharashtra,S13
Vandre West,177,AV. ASHISH SHELAR,Bharatiya Janata Party,BABA ZIAUDDIN SIDDIQUE,Indian National Congress,26911,Result Declared,Maharashtra,S13
Vasai,133,HITENDRA VISHNU THAKUR,Bahujan Vikas Aaghadi,VIVEK RAGHUNATH PANDIT(BHAU),Independent,31896,Result Declared,Maharashtra,S13
