Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
LATIKA SHARMA,Bharatiya Janata Party,50347,Haryana,Kalka,S07,1
PARDEEP CHAUDHARY,Indian National Lok Dal,31320,Haryana,Kalka,S07,1
MANVIR KAUR,Indian National Congress,19139,Haryana,Kalka,S07,1
SATVINDER SINGH RANA,Bahujan Samaj Party,9817,Haryana,Kalka,S07,1
SHAKTI RANI SHARMA,Haryana Jan Chetna Party (V),7661,Haryana,Kalka,S07,1
SUDESH SHARMA,Independent,2435,Haryana,Kalka,S07,1
AJAIB SINGH,Independent,1301,Haryana,Kalka,S07,1
VIJAY BANSAL,Independent,807,Haryana,Kalka,S07,1
SUNIL KUMAR,Independent,265,Haryana,Kalka,S07,1
SWARN SINGH GURJAR,Haryana Lokhit Party,242,Haryana,Kalka,S07,1
AMIT SHARMA,Rashtriya Lokswaraj Party,194,Haryana,Kalka,S07,1
CHANDER KANTA,Smast Bhartiya Party,147,Haryana,Kalka,S07,1
None of the Above,None of the Above,888,Haryana,Kalka,S07,1
GIAN CHAND GUPTA,Bharatiya Janata Party,69916,Haryana,Panchkula,S07,2
KUL BHUSHAN GOYAL,Indian National Lok Dal,25314,Haryana,Panchkula,S07,2
DEVENDER  KUMAR  BANSAL,Indian National Congress,15564,Haryana,Panchkula,S07,2
VINOD BAGAI,Independent,7545,Haryana,Panchkula,S07,2
RAVINDER  RAWAL,Haryana Janhit Congress (BL),3778,Haryana,Panchkula,S07,2
VISHAW DEEPAK SHARMA,Bahujan Samaj Party,1363,Haryana,Panchkula,S07,2
HARENDER  SINGH,Independent,834,Haryana,Panchkula,S07,2
R. S. SATHI,Communist Party of India  (Marxist),592,Haryana,Panchkula,S07,2
RAKESH    GILL,Independent,577,Haryana,Panchkula,S07,2
MAMCHAND   BASIA,Communist Party of India,567,Haryana,Panchkula,S07,2
HEM SINGH,Independent,400,Haryana,Panchkula,S07,2
JAGDEEP SHARMA,Independent,355,Haryana,Panchkula,S07,2
SONIA GAUR,Independent,336,Haryana,Panchkula,S07,2
VIJAY SINGH,Independent,218,Haryana,Panchkula,S07,2
RAM SARUP,Independent,207,Haryana,Panchkula,S07,2
ASHOK GUPTA,Independent,74,Haryana,Panchkula,S07,2
SHAKTI  SINGH,Haryana Lokhit Party,65,Haryana,Panchkula,S07,2
None of the Above,None of the Above,1073,Haryana,Panchkula,S07,2
NAYAB SINGH,Bharatiya Janata Party,55931,Haryana,Naraingarh,S07,3
RAM KISHAN,Indian National Congress,31570,Haryana,Naraingarh,S07,3
RAM SINGH KORWA,Bahujan Samaj Party,30736,Haryana,Naraingarh,S07,3
JAGMAL SINGH ROLLON,Indian National Lok Dal,16836,Haryana,Naraingarh,S07,3
BHOOM SINGH,Haryana Janhit Congress (BL),3101,Haryana,Naraingarh,S07,3
RANDHIR SINGH,Bhartiya Shakti Chetna Party,916,Haryana,Naraingarh,S07,3
COMRADE TEK CHAND,Communist Party of India  (Marxist),701,Haryana,Naraingarh,S07,3
SURESH KUMAR PUNIA,Smast Bhartiya Party,226,Haryana,Naraingarh,S07,3
None of the Above,None of the Above,539,Haryana,Naraingarh,S07,3
ANIL VIJ,Bharatiya Janata Party,66605,Haryana,Ambala Cantt.,S07,4
CH. NIRMAL SINGH,Indian National Congress,51143,Haryana,Ambala Cantt.,S07,4
SURAJ PARKASH JINDAL,Indian National Lok Dal,5407,Haryana,Ambala Cantt.,S07,4
CHARAN SINGH,Bahujan Samaj Party,885,Haryana,Ambala Cantt.,S07,4
JAGTAR SINGH,Independent,614,Haryana,Ambala Cantt.,S07,4
VINOD,Independent,448,Haryana,Ambala Cantt.,S07,4
SATISH KAPOOR,Haryana Jan Chetna Party (V),186,Haryana,Ambala Cantt.,S07,4
SEWA SINGH,Independent,182,Haryana,Ambala Cantt.,S07,4
TILAK RAJ TANEJA,National Janhit Congress (AB),178,Haryana,Ambala Cantt.,S07,4
BIMAL PARKASH,Independent,120,Haryana,Ambala Cantt.,S07,4
CHARANJEET SINGH,Independent,68,Haryana,Ambala Cantt.,S07,4
MEHAK KHANNA,Haryana Lokhit Party,44,Haryana,Ambala Cantt.,S07,4
None of the Above,None of the Above,1007,Haryana,Ambala Cantt.,S07,4
ASEEM GOEL,Bharatiya Janata Party,60216,Haryana,Ambala City,S07,5
VENOD SHARMA,Haryana Jan Chetna Party (V),36964,Haryana,Ambala City,S07,5
HIMAT SINGH,Indian National Congress,34658,Haryana,Ambala City,S07,5
BALVINDER SINGH,Shiromani Akali Dal,22783,Haryana,Ambala City,S07,5
PRITPAL SINGH,Bahujan Samaj Party,2093,Haryana,Ambala City,S07,5
SURJEET SINGH,Independent,683,Haryana,Ambala City,S07,5
CHUNNI MANOJ KUMAR,Independent,593,Haryana,Ambala City,S07,5
RANDHIR SINGH,Independent,574,Haryana,Ambala City,S07,5
RAJ KUMAR,Independent,507,Haryana,Ambala City,S07,5
BHOORA RAM,Independent,381,Haryana,Ambala City,S07,5
DALBIR SINGH,Haryana Lokhit Party,370,Haryana,Ambala City,S07,5
SHIV KUMAR,Independent,345,Haryana,Ambala City,S07,5
NADEEM KHAN AHMED,Independent,173,Haryana,Ambala City,S07,5
None of the Above,None of the Above,1101,Haryana,Ambala City,S07,5
SANTOSH CHAUHAN SARWAN,Bharatiya Janata Party,49970,Haryana,Mulana (SC),S07,6
RAJBIR SINGH,Indian National Lok Dal,44321,Haryana,Mulana (SC),S07,6
VARUN CHAUDHARY,Indian National Congress,43915,Haryana,Mulana (SC),S07,6
KARNAIL SINGH,Bahujan Samaj Party,12797,Haryana,Mulana (SC),S07,6
RAJ KUMAR,Haryana Janhit Congress (BL),2038,Haryana,Mulana (SC),S07,6
PAWAN KUMAR,Independent,764,Haryana,Mulana (SC),S07,6
DEV RAJ,Haryana Lokhit Party,632,Haryana,Mulana (SC),S07,6
HAVELI RAM,Independent,283,Haryana,Mulana (SC),S07,6
None of the Above,None of the Above,651,Haryana,Mulana (SC),S07,6
BALWANT SINGH,Bharatiya Janata Party,63772,Haryana,Sadhaura (SC),S07,7
PINKI CHHAPPER,Indian National Lok Dal,49626,Haryana,Sadhaura (SC),S07,7
RAJ PAL,Indian National Congress,21299,Haryana,Sadhaura (SC),S07,7
KAPOOR SINGH,Bahujan Samaj Party,16542,Haryana,Sadhaura (SC),S07,7
LAL CHAND,Independent,4228,Haryana,Sadhaura (SC),S07,7
RAVI BHUSHAN,Haryana Janhit Congress (BL),3868,Haryana,Sadhaura (SC),S07,7
ARUN KUMAR,Communist Party of India,1231,Haryana,Sadhaura (SC),S07,7
SATPAL,Samajwadi Party,768,Haryana,Sadhaura (SC),S07,7
ANIL KUMAR GAGAT (LAWANA),Smast Bhartiya Party,696,Haryana,Sadhaura (SC),S07,7
DR.NITESH (HONEY),Bhartiya Shakti Chetna Party,646,Haryana,Sadhaura (SC),S07,7
PHOOL CHAND,Independent,642,Haryana,Sadhaura (SC),S07,7
KAILASH DEVI,Haryana Lokhit Party,289,Haryana,Sadhaura (SC),S07,7
ARUN BIDLAN,Haryana Kranti Dal,222,Haryana,Sadhaura (SC),S07,7
None of the Above,None of the Above,778,Haryana,Sadhaura (SC),S07,7
KANWAR PAL S/O CHANDAN SINGH,Bharatiya Janata Party,74203,Haryana,Jagadhri,S07,8
AKRAM KHAN,Bahujan Samaj Party,40047,Haryana,Jagadhri,S07,8
DR. B. L. SAINI,Indian National Lok Dal,14794,Haryana,Jagadhri,S07,8
UDAY VIR SINGH,Independent,10609,Haryana,Jagadhri,S07,8
BHUPAL SINGH BHATI,Indian National Congress,9549,Haryana,Jagadhri,S07,8
ARJUN SINGH,Haryana Janhit Congress (BL),3569,Haryana,Jagadhri,S07,8
ZAKIR HUSSAIN,Independent,2743,Haryana,Jagadhri,S07,8
LAL SINGH,Independent,2506,Haryana,Jagadhri,S07,8
RAJIV GUPTA (KAKU),Haryana Lokhit Party,1690,Haryana,Jagadhri,S07,8
JAI CHAND CHAUHAN,Independent,1001,Haryana,Jagadhri,S07,8
HARBHAJAN SINGH,Communist Party of India,617,Haryana,Jagadhri,S07,8
KAUSHALYA JANGRA,Independent,586,Haryana,Jagadhri,S07,8
MOHAN LAL,Independent,562,Haryana,Jagadhri,S07,8
NARESH KUMAR,Samajwadi Party,516,Haryana,Jagadhri,S07,8
KANWAR PAL S/O SIYA RAM,Independent,443,Haryana,Jagadhri,S07,8
PREM CHAND,Bhartiya Shakti Chetna Party,409,Haryana,Jagadhri,S07,8
SUSHMA RANI,Haryana Kranti Dal,379,Haryana,Jagadhri,S07,8
BRIJ MOHAN MALHOTRA,Independent,324,Haryana,Jagadhri,S07,8
YOGESH SETHI,Independent,285,Haryana,Jagadhri,S07,8
CHETAK SINGH,Independent,274,Haryana,Jagadhri,S07,8
VED PARKASH,Smast Bhartiya Party,123,Haryana,Jagadhri,S07,8
None of the Above,None of the Above,424,Haryana,Jagadhri,S07,8
GHANSHYAM DASS,Bharatiya Janata Party,79743,Haryana,Yamunanagar,S07,9
DILBAGH SINGH,Indian National Lok Dal,51498,Haryana,Yamunanagar,S07,9
ARVIND KUMAR SHARMA,Bahujan Samaj Party,10367,Haryana,Yamunanagar,S07,9
DR. KRISHNA PANDIT,Indian National Congress,9603,Haryana,Yamunanagar,S07,9
JASVIR SINGH,Independent,579,Haryana,Yamunanagar,S07,9
VINAY KUMARI SHARMA,Haryana Jan Chetna Party (V),439,Haryana,Yamunanagar,S07,9
SANDHYA SHARMA,Haryana Lokhit Party,418,Haryana,Yamunanagar,S07,9
PARVEEN KAMBOJ,Bhartiya Shakti Chetna Party,395,Haryana,Yamunanagar,S07,9
AVNISH KAUSHIK,Haryana Kranti Dal,350,Haryana,Yamunanagar,S07,9
PAWAN BHOLA,Independent,326,Haryana,Yamunanagar,S07,9
VARUN SHARMA,Smast Bhartiya Party,214,Haryana,Yamunanagar,S07,9
None of the Above,None of the Above,882,Haryana,Yamunanagar,S07,9
SHYAM SINGH,Bharatiya Janata Party,67076,Haryana,Radaur,S07,10
RAJ KUMAR BUBKA,Indian National Lok Dal,28369,Haryana,Radaur,S07,10
SUBHASH CHAUDHRY,Indian National Congress,19184,Haryana,Radaur,S07,10
SANJAY KUMAR,Bahujan Samaj Party,10594,Haryana,Radaur,S07,10
MOHIT KAIT,Independent,7732,Haryana,Radaur,S07,10
AJAY PAL,Independent,5402,Haryana,Radaur,S07,10
RISHI PAL,Independent,3850,Haryana,Radaur,S07,10
KULDEEP SINGH S/O JAI SINGH,Haryana Kranti Dal,1329,Haryana,Radaur,S07,10
BALWANT,Communist Party of India,928,Haryana,Radaur,S07,10
RAJINDER KUMAR,Bhartiya Shakti Chetna Party,598,Haryana,Radaur,S07,10
SANDEEP KUMAR,Independent,519,Haryana,Radaur,S07,10
KULDEEP SINGH S/O SADHA SINGH,Haryana Lokhit Party,332,Haryana,Radaur,S07,10
RAVI,Haryana Jan Chetna Party (V),313,Haryana,Radaur,S07,10
RANJEET SINGH,Independent,291,Haryana,Radaur,S07,10
SATISH KUMAR,Samajwadi Party,279,Haryana,Radaur,S07,10
YADWINDER SINGH,Rashtriya Lokswaraj Party,127,Haryana,Radaur,S07,10
None of the Above,None of the Above,496,Haryana,Radaur,S07,10
DR. PAWAN SAINI,Bharatiya Janata Party,42445,Haryana,Ladwa,S07,11
BACHAN KAUR BARSHAMI,Indian National Lok Dal,39453,Haryana,Ladwa,S07,11
KAILASHO SAINI,Indian National Congress,33052,Haryana,Ladwa,S07,11
KAKA JATINDER SINGH,Independent,9900,Haryana,Ladwa,S07,11
DEEP SAINI,Haryana Janhit Congress (BL),7512,Haryana,Ladwa,S07,11
RAVINDER PAL SINGH,Bahujan Samaj Party,1589,Haryana,Ladwa,S07,11
BHIM SINGH SAINI,Communist Party of India  (Marxist),580,Haryana,Ladwa,S07,11
PAWAN SAINI,Independent,554,Haryana,Ladwa,S07,11
GURVINDER SAINI,Smast Bhartiya Party,339,Haryana,Ladwa,S07,11
RAJINDER SINGH,Independent,299,Haryana,Ladwa,S07,11
RAJ PAL BAJWA,Haryana Lokhit Party,255,Haryana,Ladwa,S07,11
JASVINDER JAST BHUKHARI,Independent,204,Haryana,Ladwa,S07,11
JAI NARAYAN,Haryana Kranti Dal,197,Haryana,Ladwa,S07,11
CH. RAM DHARI BENIWAL,Independent,179,Haryana,Ladwa,S07,11
RAMNEEK SINGH LADWA,Rashtriya Janshakti Party(Eklavya),127,Haryana,Ladwa,S07,11
None of the Above,None of the Above,642,Haryana,Ladwa,S07,11
KRISHAN KUMAR,Bharatiya Janata Party,45715,Haryana,Shahbad (SC),S07,12
RAM KARAN,Indian National Lok Dal,45153,Haryana,Shahbad (SC),S07,12
ANIL KUMAR DHANTORI,Indian National Congress,28482,Haryana,Shahbad (SC),S07,12
DR. BALDEV SINGH,Bahujan Samaj Party,1303,Haryana,Shahbad (SC),S07,12
MEMO DEVI RANGA,Haryana Janhit Congress (BL),862,Haryana,Shahbad (SC),S07,12
DHARAMPAL,Haryana Lokhit Party,376,Haryana,Shahbad (SC),S07,12
KULDEEP SINGH,Haryana Kranti Dal,304,Haryana,Shahbad (SC),S07,12
None of the Above,None of the Above,717,Haryana,Shahbad (SC),S07,12
SUBHASH SUDHA,Bharatiya Janata Party,68080,Haryana,Thanesar,S07,13
ASHOK KUMAR ARORA,Indian National Lok Dal,42442,Haryana,Thanesar,S07,13
PAWAN GARG,Indian National Congress,13769,Haryana,Thanesar,S07,13
RAJESH SHARMA,Haryana Jan Chetna Party (V),1017,Haryana,Thanesar,S07,13
ASHWANI MALHOTRA,Bahujan Samaj Party,909,Haryana,Thanesar,S07,13
VIMAL KUMAR,Independent,407,Haryana,Thanesar,S07,13
CHAND RAM,Independent,284,Haryana,Thanesar,S07,13
RAJESH KUMAR,Independent,259,Haryana,Thanesar,S07,13
KARM SINGH,Bahujan Mukti Party,257,Haryana,Thanesar,S07,13
GURCHARAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),253,Haryana,Thanesar,S07,13
GOVERDHAN DASS,Independent,114,Haryana,Thanesar,S07,13
RAVINDER KUMAR,Smast Bhartiya Party,110,Haryana,Thanesar,S07,13
SOM NATH,Haryana Lokhit Party,106,Haryana,Thanesar,S07,13
ASHOK KUMAR,Independent,44,Haryana,Thanesar,S07,13
None of the Above,None of the Above,655,Haryana,Thanesar,S07,13
JASWINDER SINGH SANDHU,Indian National Lok Dal,49110,Haryana,Pehowa,S07,14
JAI BHAGWAN SHARMA ( D.D.),Bharatiya Janata Party,39763,Haryana,Pehowa,S07,14
MANDEEP SINGH CHATHA,Indian National Congress,34810,Haryana,Pehowa,S07,14
BABA BALDEV SINGH,Haryana Janhit Congress (BL),3158,Haryana,Pehowa,S07,14
SURESH KUMAR,Independent,716,Haryana,Pehowa,S07,14
PAWAN SHARMA,Bahujan Samaj Party,635,Haryana,Pehowa,S07,14
RAJ KUMAR SARSA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),277,Haryana,Pehowa,S07,14
VIKRANT SINGH,Independent,269,Haryana,Pehowa,S07,14
AMARJEET KAUR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),245,Haryana,Pehowa,S07,14
AJAY SINGH,Independent,212,Haryana,Pehowa,S07,14
SHYAM LAL,Independent,142,Haryana,Pehowa,S07,14
SHUBHANGI SHARMA,Haryana Lokhit Party,101,Haryana,Pehowa,S07,14
SATYAWAN,Smast Bhartiya Party,85,Haryana,Pehowa,S07,14
None of the Above,None of the Above,769,Haryana,Pehowa,S07,14
KULWANT RAM BAZIGAR,Bharatiya Janata Party,36598,Haryana,Guhla (SC),S07,15
DILLU RAM,Indian National Congress,34158,Haryana,Guhla (SC),S07,15
BUTA SINGH,Indian National Lok Dal,32334,Haryana,Guhla (SC),S07,15
REKHA RANI,Independent,19946,Haryana,Guhla (SC),S07,15
NARESH KUMAR,Haryana Janhit Congress (BL),2823,Haryana,Guhla (SC),S07,15
RAMESHWAR DASS,Independent,2350,Haryana,Guhla (SC),S07,15
DALBIR SINGH,Bahujan Samaj Party,775,Haryana,Guhla (SC),S07,15
BHUPINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),518,Haryana,Guhla (SC),S07,15
PARTAP SINGH,Samajwadi Party,497,Haryana,Guhla (SC),S07,15
RAM KISHAN,Haryana Lokhit Party,468,Haryana,Guhla (SC),S07,15
BIRBAL SINGH,Independent,467,Haryana,Guhla (SC),S07,15
RAKESH KUMAR CHAUHAN,Rashtriya Lokswaraj Party,88,Haryana,Guhla (SC),S07,15
None of the Above,None of the Above,1079,Haryana,Guhla (SC),S07,15
BHAI JAI PARKASH (J.P.),Independent,51106,Haryana,Kalayat,S07,16
RAM PAL MAJRA,Indian National Lok Dal,42716,Haryana,Kalayat,S07,16
DHARAM PAL,Bharatiya Janata Party,26028,Haryana,Kalayat,S07,16
RANVIR SINGH MANN,Indian National Congress,22971,Haryana,Kalayat,S07,16
JOGI RAM,Bahujan Samaj Party,4232,Haryana,Kalayat,S07,16
BALVIR,Independent,998,Haryana,Kalayat,S07,16
BHUPENDER SINGH,Haryana Jan Chetna Party (V),547,Haryana,Kalayat,S07,16
NARESH KUMAR,Independent,529,Haryana,Kalayat,S07,16
JAI PRAKASH,Independent,497,Haryana,Kalayat,S07,16
SATPAL,Haryana Lokhit Party,478,Haryana,Kalayat,S07,16
BALJIT,Independent,395,Haryana,Kalayat,S07,16
SURENDER,Independent,355,Haryana,Kalayat,S07,16
SATISH,Independent,337,Haryana,Kalayat,S07,16
KULVINDER KAUR,Smast Bhartiya Party,295,Haryana,Kalayat,S07,16
RANBIR SINGH,Independent,264,Haryana,Kalayat,S07,16
MAHIPAL,Samajwadi Party,204,Haryana,Kalayat,S07,16
DINESH KUMAR,Independent,201,Haryana,Kalayat,S07,16
RANVIR,Independent,168,Haryana,Kalayat,S07,16
KARAMVIR,Independent,112,Haryana,Kalayat,S07,16
None of the Above,None of the Above,393,Haryana,Kalayat,S07,16
RANDEEP SINGH SURJEWALA,Indian National Congress,65524,Haryana,Kaithal,S07,17
KAILASH BHAGAT,Indian National Lok Dal,41849,Haryana,Kaithal,S07,17
SURINDER SINGH,Bharatiya Janata Party,38171,Haryana,Kaithal,S07,17
NIRMALA JANGRA,Bahujan Samaj Party,2722,Haryana,Kaithal,S07,17
COMRADE PREM CHAND,Communist Party of India  (Marxist),563,Haryana,Kaithal,S07,17
ISHWAR SINGH,Independent,410,Haryana,Kaithal,S07,17
JAGAN SINGH,Haryana Janhit Congress (BL),317,Haryana,Kaithal,S07,17
BALI CHAUHAN,Samajwadi Party,314,Haryana,Kaithal,S07,17
CHANDER BHAN,Independent,258,Haryana,Kaithal,S07,17
YOGESH KALRA,Haryana Lokhit Party,233,Haryana,Kaithal,S07,17
NARESH KUMAR,Independent,230,Haryana,Kaithal,S07,17
DR. ASHWINI SHARMA HRITTWAL,Independent,216,Haryana,Kaithal,S07,17
JARNAIL SINGH,Independent,170,Haryana,Kaithal,S07,17
None of the Above,None of the Above,708,Haryana,Kaithal,S07,17
DINESH KAUSHIK,Independent,38312,Haryana,Pundri,S07,18
RANDHIR SINGH GOLLEN,Bharatiya Janata Party,33480,Haryana,Pundri,S07,18
TEJVIR SINGH,Indian National Lok Dal,16169,Haryana,Pundri,S07,18
NARENDER SHARMA,Independent,15004,Haryana,Pundri,S07,18
SATVIR BHANA,Independent,14918,Haryana,Pundri,S07,18
BALKAR SINGH,Independent,9476,Haryana,Pundri,S07,18
RAVI MEHLA,Indian National Congress,3522,Haryana,Pundri,S07,18
KARAMVIR GUJJAR,Bahujan Samaj Party,3186,Haryana,Pundri,S07,18
SUBHASH CHAND,Independent,825,Haryana,Pundri,S07,18
DHARAMVIR,Independent,483,Haryana,Pundri,S07,18
JASMAHINDER SINGH PABNAWA,Independent,467,Haryana,Pundri,S07,18
NIRJA SINGH,Independent,343,Haryana,Pundri,S07,18
PARDEEP KALTAGEDIYA,Haryana Janhit Congress (BL),306,Haryana,Pundri,S07,18
NARESH KUMAR,Smast Bhartiya Party,282,Haryana,Pundri,S07,18
KULDEEP,Independent,261,Haryana,Pundri,S07,18
RAMPAL,Independent,213,Haryana,Pundri,S07,18
MAHAVIR SINGH KAUL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),172,Haryana,Pundri,S07,18
ISHWAR SINGH,Independent,149,Haryana,Pundri,S07,18
AMIT WALIA,Haryana Lokhit Party,89,Haryana,Pundri,S07,18
ANIL,Independent,77,Haryana,Pundri,S07,18
None of the Above,None of the Above,174,Haryana,Pundri,S07,18
BHAGWAN DASS KABIR PANTHI,Bharatiya Janata Party,58354,Haryana,Nilokheri (SC),S07,19
MAMU RAM,Indian National Lok Dal,23944,Haryana,Nilokheri (SC),S07,19
GIAN SAHOTA,Indian National Congress,23257,Haryana,Nilokheri (SC),S07,19
SUSHMA CHAUHAN,Independent,15356,Haryana,Nilokheri (SC),S07,19
ARUNA,Bahujan Samaj Party,9014,Haryana,Nilokheri (SC),S07,19
GIAN CHAND OD,Independent,2987,Haryana,Nilokheri (SC),S07,19
NAFE SINGH,Haryana Janhit Congress (BL),2965,Haryana,Nilokheri (SC),S07,19
BALWINDERPAL,Independent,567,Haryana,Nilokheri (SC),S07,19
PROFESSOR SURESH KUMAR,Independent,488,Haryana,Nilokheri (SC),S07,19
SUNITA RANI,Independent,417,Haryana,Nilokheri (SC),S07,19
JAGBIR SINGH BALMIKI,Haryana Lokhit Party,312,Haryana,Nilokheri (SC),S07,19
KUSUM SOLANKY,Rashtriya Garib Dal,254,Haryana,Nilokheri (SC),S07,19
BALJIT SINGH,Independent,239,Haryana,Nilokheri (SC),S07,19
ARVIND KUMAR LAGYAN,Independent,191,Haryana,Nilokheri (SC),S07,19
SUNIL VALMIKI,Haryana Kranti Dal,134,Haryana,Nilokheri (SC),S07,19
NATHI,Smast Bhartiya Party,106,Haryana,Nilokheri (SC),S07,19
VINOD,Bharatiya Inqalab Party,93,Haryana,Nilokheri (SC),S07,19
None of the Above,None of the Above,459,Haryana,Nilokheri (SC),S07,19
KARAN DEV KAMBOJ,Bharatiya Janata Party,45756,Haryana,Indri,S07,20
USHA KASHYAP,Indian National Lok Dal,21881,Haryana,Indri,S07,20
RAKESH KAMBOJ,Haryana Janhit Congress (BL),18892,Haryana,Indri,S07,20
BHIM SAIN MEHTA,Indian National Congress,18550,Haryana,Indri,S07,20
RAJIV KUMAR RANGEELA,Independent,12830,Haryana,Indri,S07,20
RAKESH BAAGH SINGH,Independent,7857,Haryana,Indri,S07,20
AMI CHAND,Independent,5893,Haryana,Indri,S07,20
SUSHIL KUMAR,Bahujan Samaj Party,4702,Haryana,Indri,S07,20
RANJEET SINGH,Communist Party of India,931,Haryana,Indri,S07,20
SUSHIL RANA,Independent,609,Haryana,Indri,S07,20
RAJIV RANGILA,Independent,427,Haryana,Indri,S07,20
PIYUSH KUMAR,Independent,292,Haryana,Indri,S07,20
SATPAL,Independent,290,Haryana,Indri,S07,20
RAKESH KUMAR,Independent,286,Haryana,Indri,S07,20
RAJINDER KUMAR,Independent,266,Haryana,Indri,S07,20
SANJIV KUMAR,Haryana Lokhit Party,255,Haryana,Indri,S07,20
None of the Above,None of the Above,716,Haryana,Indri,S07,20
MANOHAR LAL KHATTAR,Bharatiya Janata Party,82485,Haryana,Karnal,S07,21
JAI PARKASH GUPTA KARNAL,Independent,18712,Haryana,Karnal,S07,21
MANOJ WADHWA,Indian National Lok Dal,17685,Haryana,Karnal,S07,21
SURENDER NARWAL,Indian National Congress,12804,Haryana,Karnal,S07,21
RANBIR SINGH,Bahujan Samaj Party,3437,Haryana,Karnal,S07,21
SURESH MATLAUDA,Independent,2230,Haryana,Karnal,S07,21
TEJPAL GARG,Haryana Janhit Congress (BL),943,Haryana,Karnal,S07,21
JAI PARKASH,Independent,423,Haryana,Karnal,S07,21
TILAK RAJ,Independent,363,Haryana,Karnal,S07,21
BISHAMBER,Samajwadi Party,241,Haryana,Karnal,S07,21
SARITA,Haryana Lokhit Party,141,Haryana,Karnal,S07,21
NAVJOT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),120,Haryana,Karnal,S07,21
ALKA SINGH,Sarva Jan Smaj Party (Nand Kishore Chawla),101,Haryana,Karnal,S07,21
MAHINDER SINGH CHOPRA,Communist Party of India  (Marxist-Leninist)  (Liberation),59,Haryana,Karnal,S07,21
None of the Above,None of the Above,589,Haryana,Karnal,S07,21
HARVINDER KALYAN,Bharatiya Janata Party,55247,Haryana,Gharaunda,S07,22
NARENDER SANGWAN,Indian National Lok Dal,37364,Haryana,Gharaunda,S07,22
VIRENDER SINGH RATHORE,Indian National Congress,36896,Haryana,Gharaunda,S07,22
SOHAN LAL,Bahujan Samaj Party,19171,Haryana,Gharaunda,S07,22
JAI SINGH RANA,Haryana Janhit Congress (BL),3229,Haryana,Gharaunda,S07,22
SUBHASH KHURANA,Independent,1031,Haryana,Gharaunda,S07,22
COM. JAGMAL SINGH,Communist Party of India  (Marxist),375,Haryana,Gharaunda,S07,22
KARAN SINGH BALMIKI,Haryana Kranti Dal,355,Haryana,Gharaunda,S07,22
MOHAN KUMAR,Independent,337,Haryana,Gharaunda,S07,22
JAFAR,Independent,329,Haryana,Gharaunda,S07,22
DILBAG ARYA,Rashtriya Arya Raj Sabha,323,Haryana,Gharaunda,S07,22
KARAN SINGH,Haryana Lokhit Party,281,Haryana,Gharaunda,S07,22
KARAN SINGH SANDHU,Independent,214,Haryana,Gharaunda,S07,22
CHANDER PARKASH,Rashtriya Lokswaraj Party,131,Haryana,Gharaunda,S07,22
None of the Above,None of the Above,293,Haryana,Gharaunda,S07,22
BAKHSHISH  SINGH VIRK,Bharatiya Janata Party,30723,Haryana,Assandh,S07,23
MARATHA VIRENDER VERMA,Bahujan Samaj Party,26115,Haryana,Assandh,S07,23
YASHBIR RANA (KUKU),Indian National Lok Dal,23191,Haryana,Assandh,S07,23
YASHPAL SINGH RANA,Independent,17098,Haryana,Assandh,S07,23
SUMITA SINGH,Indian National Congress,14103,Haryana,Assandh,S07,23
ZILE RAM SHARMA,Independent,12962,Haryana,Assandh,S07,23
BRIJENDRA MANN,Independent,12894,Haryana,Assandh,S07,23
JAGDISH KUMAR,Independent,3799,Haryana,Assandh,S07,23
SHER PARTAP SINGH,Independent,3762,Haryana,Assandh,S07,23
SUBHASH SHARMA,Haryana Jan Chetna Party (V),2328,Haryana,Assandh,S07,23
KRISHAN LAL,Haryana Lokhit Party,2081,Haryana,Assandh,S07,23
KAMAL MANN,Independent,2037,Haryana,Assandh,S07,23
ISHWAR SINGH,Independent,863,Haryana,Assandh,S07,23
MOTI RAM,Independent,791,Haryana,Assandh,S07,23
SATPAL,Communist Party of India,747,Haryana,Assandh,S07,23
SURENDER KUMAR,Independent,597,Haryana,Assandh,S07,23
PARVEEN KUMAR,Independent,522,Haryana,Assandh,S07,23
TEERATH SINGH,Smast Bhartiya Party,448,Haryana,Assandh,S07,23
TEJA SINGH,Independent,447,Haryana,Assandh,S07,23
AZAD KAJAL,Independent,400,Haryana,Assandh,S07,23
KALI RAM,Independent,392,Haryana,Assandh,S07,23
RAM KUMAR,Communist Party of India  (Marxist-Leninist)  (Liberation),313,Haryana,Assandh,S07,23
MAHENDER KUMAR,Independent,262,Haryana,Assandh,S07,23
ISHWAR CHAND SALWAN,Aadarsh Janata Sewa Party,233,Haryana,Assandh,S07,23
RAMESH KUMAR,Independent,222,Haryana,Assandh,S07,23
SAT PAL,Rashtriya Garib Dal,174,Haryana,Assandh,S07,23
RAM PAL,Independent,100,Haryana,Assandh,S07,23
MAHI PAL,Independent,93,Haryana,Assandh,S07,23
None of the Above,None of the Above,285,Haryana,Assandh,S07,23
